Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        4604548      245.6          0        0.0
               --ada                            15        0.0          0        0.0
             --yliu6                          5276        0.3          0        0.0
        --rmunaweera                             2        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       4389702      234.1          0        0.0
               --yfu                        162893        8.7          0        0.0
      pawsey0420-gpu        1600000        2352498      147.0          0        0.0
               --ada                        369133       23.1          0        0.0
              --yhao                         96796        6.0          0        0.0
               --yfu                        394160       24.6          0        0.0
             --aks19                       1255349       78.5          0        0.0
        --rmunaweera                        174489       10.9          0        0.0
           --psutton                         62568        3.9          0        0.0
