Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1563480       83.4          0        0.0
             --yliu6                           939        0.1          0        0.0
        --rmunaweera                             1        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1415433       75.5          0        0.0
               --yfu                        100446        5.4          0        0.0
      pawsey0420-gpu        1600000         514487       32.2          0        0.0
               --ada                         22312        1.4          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
              --yhao                         96796        6.0          0        0.0
               --yfu                        288361       18.0          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                         52178        3.3          0        0.0
