Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        2079314      110.9          0        0.0
             --yliu6                          2989        0.2          0        0.0
        --rmunaweera                             2        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1927798      102.8          0        0.0
               --yfu                        101864        5.4          0        0.0
      pawsey0420-gpu        1600000         880748       55.0          0        0.0
               --ada                        272662       17.0          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
              --yhao                         96796        6.0          0        0.0
               --yfu                        293559       18.3          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                        162890       10.2          0        0.0
